structure_id,structure_hash,provenance,source_file,source_group,frame_index,raw_source_family,scientific_domain,natoms,N_Si,N_O,O_over_Si,oxygen_deficiency_x,DFT_label,overlap_PC004,disposition,student_eligible,generator_model
prod:random_x006:0000,fd9a7385758e6bf0,PRODUCTION_MD,sio2x_production/random_x006/traj.dump,prod:random_x006,0,prod_random_x006,DILUTE_OXYGEN_DEFICIENT,2940,1000,1940,1.94,0.06,False,False,STUDENT_DISTILLATION_CANDIDATE,True,historical Student/MLIP MD (LAMMPS pair_style nn) — positions only; stored fx/fy/fz NOT authoritative labels
prod:random_x006:0150,d195ebbbb5d2fec2,PRODUCTION_MD,sio2x_production/random_x006/traj.dump,prod:random_x006,150,prod_random_x006,DILUTE_OXYGEN_DEFICIENT,2940,1000,1940,1.94,0.06,False,False,STUDENT_DISTILLATION_CANDIDATE,True,historical Student/MLIP MD (LAMMPS pair_style nn) — positions only; stored fx/fy/fz NOT authoritative labels
prod:random_x012:0000,b79084a5c4cb6725,PRODUCTION_MD,sio2x_production/random_x012/traj.dump,prod:random_x012,0,prod_random_x012,DILUTE_OXYGEN_DEFICIENT,2880,1000,1880,1.88,0.12,False,False,STUDENT_DISTILLATION_CANDIDATE,True,historical Student/MLIP MD (LAMMPS pair_style nn) — positions only; stored fx/fy/fz NOT authoritative labels
prod:random_x012:0150,4ba0815f2bb9dfe3,PRODUCTION_MD,sio2x_production/random_x012/traj.dump,prod:random_x012,150,prod_random_x012,DILUTE_OXYGEN_DEFICIENT,2880,1000,1880,1.88,0.12,False,False,STUDENT_DISTILLATION_CANDIDATE,True,historical Student/MLIP MD (LAMMPS pair_style nn) — positions only; stored fx/fy/fz NOT authoritative labels
corpus:03397,12e9d7020feb0900,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3397,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,132,44,88,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03410,03a7b081d314cabb,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3410,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,153,51,102,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03424,320e9448070462cc,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3424,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,132,44,88,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03437,b5db040a55250421,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3437,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,135,45,90,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03451,964dcff6c70ca339,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3451,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,138,46,92,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03464,03b1a7209157d049,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3464,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,144,48,96,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03478,3b4eb3207f1bb25c,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3478,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,123,41,82,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03491,a12548224065e5f8,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3491,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03504,474701b33feb7674,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3504,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,117,39,78,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03518,ceaf70045289973c,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3518,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,105,35,70,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03531,71451a355466f9f7,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3531,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,105,35,70,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03545,bfc025b2a167f1c1,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3545,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,96,32,64,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03558,86e9f848e7bdcf90,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3558,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,105,35,70,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03571,8c3bca08c61f4d3b,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3571,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,111,37,74,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03585,e42a0ba6f5c9f645,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3585,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,117,39,78,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03598,64ff38d34ff04e33,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3598,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,129,43,86,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03612,809d653c9ad39e2c,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3612,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,147,49,98,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03625,f18994db43aa6e12,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3625,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03639,98757b53f8a068e7,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3639,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,135,45,90,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03652,919e887624075782,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3652,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,123,41,82,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03665,b84955b2355931e6,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3665,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03679,677ac2084828bb4e,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3679,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,132,44,88,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03692,10c41049f45dc453,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3692,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,126,42,84,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03706,b2bd6da157d3ada8,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3706,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,138,46,92,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03719,f9f41857d871ad89,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3719,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,135,45,90,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03732,e73be4e6fe6d345e,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3732,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,126,42,84,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03746,85c5eeb17fc1b1cf,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3746,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,90,30,60,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03759,40dffadbd99fbef2,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3759,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,141,47,94,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:03773,aec32ab659b06abe,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,quench_int_AL,3773,quench_int_AL,DILUTE_OXYGEN_DEFICIENT,114,38,76,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
