dataset_index,config_type,domain,role,ft_split,natoms,nSi,nO,O_over_Si,content_sha12
0,bulk_cryst,replay:bulk_cryst,replay,train,108,36,72,2.0,f5b5022276fe
19,bulk_cryst,replay:bulk_cryst,replay,train,108,36,72,2.0,6ea9f3aeabbe
41,bulk_cryst,replay:bulk_cryst,replay,train,108,36,72,2.0,57e18ff347e6
63,bulk_cryst,replay:bulk_cryst,replay,train,108,36,72,2.0,3084915c286d
85,bulk_cryst,replay:bulk_cryst,replay,train,108,36,72,2.0,7e04a2d4411e
103,bulk_cryst,replay:bulk_cryst,replay,val,48,16,32,2.0,1d6d9b6d9193
122,bulk_cryst,replay:bulk_cryst,replay,train,48,16,32,2.0,fea72efd9de3
142,bulk_cryst,replay:bulk_cryst,replay,train,48,16,32,2.0,01073fc028b0
162,bulk_cryst,replay:bulk_cryst,replay,train,48,16,32,2.0,28ea28521bf4
180,bulk_cryst,replay:bulk_cryst,replay,train,48,16,32,2.0,f569232b9fa2
198,bulk_cryst,replay:bulk_cryst,replay,train,48,16,32,2.0,95ff2c81cbb9
219,bulk_cryst,replay:bulk_cryst,replay,train,12,4,8,2.0,b64d019fe2c5
236,bulk_cryst,replay:bulk_cryst,replay,train,12,4,8,2.0,f9b7781dcb65
254,bulk_cryst,replay:bulk_cryst,replay,train,12,4,8,2.0,21b6fb2317eb
274,bulk_cryst,replay:bulk_cryst,replay,train,12,4,8,2.0,87b8f80bc0d1
289,bulk_cryst,replay:bulk_cryst,replay,val,12,4,8,2.0,ba11ac090906
308,bulk_cryst,replay:bulk_cryst,replay,train,9,3,6,2.0,f7351ab6d499
324,bulk_cryst,replay:bulk_cryst,replay,train,9,3,6,2.0,d61607e62c62
342,bulk_cryst,replay:bulk_cryst,replay,train,9,3,6,2.0,36efded71580
362,bulk_cryst,replay:bulk_cryst,replay,train,9,3,6,2.0,9ce5879df7c1
382,bulk_cryst,replay:bulk_cryst,replay,train,9,3,6,2.0,3b2ad0d0f292
403,bulk_cryst,replay:bulk_cryst,replay,train,144,48,96,2.0,63271333d917
421,bulk_cryst,replay:bulk_cryst,replay,train,144,48,96,2.0,79c4e37b2c8f
438,bulk_cryst,replay:bulk_cryst,replay,train,144,48,96,2.0,4ea0da028f3b
457,bulk_cryst,replay:bulk_cryst,replay,train,144,48,96,2.0,a5b01e6201e2
477,bulk_cryst,replay:bulk_cryst,replay,val,144,48,96,2.0,7224c8268fb2
496,bulk_cryst,replay:bulk_cryst,replay,train,144,48,96,2.0,3228dfbbd9e9
515,bulk_cryst,replay:bulk_cryst,replay,train,36,12,24,2.0,75de99af9309
531,bulk_cryst,replay:bulk_cryst,replay,train,36,12,24,2.0,fb84b07e974d
547,bulk_cryst,replay:bulk_cryst,replay,train,36,12,24,2.0,9deaee4da330
566,bulk_cryst,replay:bulk_cryst,replay,train,36,12,24,2.0,965ebd6d9add
583,bulk_cryst,replay:bulk_cryst,replay,train,36,12,24,2.0,329030328f3e
602,bulk_cryst,replay:bulk_cryst,replay,train,6,2,4,2.0,509a1d8cb7d6
619,bulk_cryst,replay:bulk_cryst,replay,train,6,2,4,2.0,1621b2cf045c
635,bulk_cryst,replay:bulk_cryst,replay,train,6,2,4,2.0,22a3ab81069c
651,bulk_cryst,replay:bulk_cryst,replay,val,6,2,4,2.0,51a04fcee2d5
671,bulk_cryst,replay:bulk_cryst,replay,train,6,2,4,2.0,9be6239254d6
690,bulk_cryst,replay:bulk_cryst,replay,train,6,2,4,2.0,6d9b7f35d5b6
701,quench,amorphous_SiO2,core,train,192,64,128,2.0,0dac00a7d0cd
702,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,cb935920c873
704,quench,amorphous_SiO2,core,train,192,64,128,2.0,02a6ff59eb08
705,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,2545768bbfca
706,liquid,amorphous_SiO2,core,train,192,64,128,2.0,c44fcef77b17
707,quench,amorphous_SiO2,core,val,192,64,128,2.0,0ca7f7c4eb3b
708,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,eb1efc9b4fec
709,liquid,amorphous_SiO2,core,train,192,64,128,2.0,6f5f19ead6ff
710,quench,amorphous_SiO2,core,train,192,64,128,2.0,fe1b51c36b08
711,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,c5fda262216c
713,quench,amorphous_SiO2,core,train,192,64,128,2.0,fe184deb8a68
714,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,254851988a69
715,liquid,amorphous_SiO2,core,train,192,64,128,2.0,c4c4ebfedeba
717,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,c7ba12ab87e8
718,liquid,amorphous_SiO2,core,train,192,64,128,2.0,a337e44cdd3f
719,quench,amorphous_SiO2,core,val,192,64,128,2.0,ecb3554de8b3
720,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,fb1e78f37b97
722,quench,amorphous_SiO2,core,train,192,64,128,2.0,05ae9f8839ac
723,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,2349ebdf2f85
724,liquid,amorphous_SiO2,core,train,192,64,128,2.0,3a1b32ab112b
725,quench,amorphous_SiO2,core,train,192,64,128,2.0,678113321004
726,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,41408f04eeee
727,liquid,amorphous_SiO2,core,train,192,64,128,2.0,156629d72580
728,quench,amorphous_SiO2,core,train,192,64,128,2.0,3d25410b2d15
729,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,f906d20d6b4f
731,quench,amorphous_SiO2,core,val,192,64,128,2.0,921a4e6bb06f
732,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,a7cb7e520e9f
735,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,e0b5ee171b2d
736,liquid,amorphous_SiO2,core,train,192,64,128,2.0,4b19a921f8d9
737,quench,amorphous_SiO2,core,train,192,64,128,2.0,ce954457940d
738,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,29126c05996d
739,liquid,amorphous_SiO2,core,train,192,64,128,2.0,d235c62c6bb4
741,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,031260a01ddc
743,quench,amorphous_SiO2,core,train,192,64,128,2.0,e46a10d698e8
744,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,79687aade5b8
746,quench,amorphous_SiO2,core,val,192,64,128,2.0,f8870456a5eb
747,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,2b285619a5a4
748,liquid,amorphous_SiO2,core,train,192,64,128,2.0,f2a209275f45
749,quench,amorphous_SiO2,core,train,192,64,128,2.0,6cfa1560160b
750,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,046d6e5389d9
754,liquid,amorphous_SiO2,core,train,192,64,128,2.0,90f9f62df665
755,quench,amorphous_SiO2,core,train,192,64,128,2.0,20694cc9c879
756,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,4adc2c2f75d5
757,liquid,amorphous_SiO2,core,train,192,64,128,2.0,fcb20d341add
758,quench,amorphous_SiO2,core,train,192,64,128,2.0,5e4e9199f442
759,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,eff1f4cce844
760,liquid,amorphous_SiO2,core,train,192,64,128,2.0,1f91b647daf4
761,quench,amorphous_SiO2,core,train,192,64,128,2.0,8bcd455efde8
762,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,fa297bbdceb5
764,quench,amorphous_SiO2,core,train,192,64,128,2.0,9eb52728867c
765,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,fc1301b9597a
766,liquid,amorphous_SiO2,core,train,192,64,128,2.0,db1a31148af0
767,quench,amorphous_SiO2,core,train,192,64,128,2.0,bba60602e4d8
769,liquid,amorphous_SiO2,core,train,192,64,128,2.0,4496642f3c83
770,quench,amorphous_SiO2,core,train,192,64,128,2.0,5c1c4c408aa1
771,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,c12265a86578
772,liquid,amorphous_SiO2,core,train,192,64,128,2.0,c38e99972a74
773,quench,amorphous_SiO2,core,train,192,64,128,2.0,a46b1cb66b24
776,quench,amorphous_SiO2,core,train,192,64,128,2.0,cc8144e475ef
777,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,2bcfe553b24d
778,liquid,amorphous_SiO2,core,train,192,64,128,2.0,25eb7856bfa2
779,quench,amorphous_SiO2,core,train,192,64,128,2.0,8f7c950f79c4
780,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,734f327d0b43
782,quench,amorphous_SiO2,core,train,192,64,128,2.0,b0046dc14cb7
784,liquid,amorphous_SiO2,core,train,192,64,128,2.0,ba0d2a86fd27
785,quench,amorphous_SiO2,core,val,192,64,128,2.0,42a8bf3c99a3
787,liquid,amorphous_SiO2,core,train,192,64,128,2.0,3eb754ee425e
788,quench,amorphous_SiO2,core,train,192,64,128,2.0,33ece2914217
789,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,afa893b2e433
791,quench,amorphous_SiO2,core,train,192,64,128,2.0,6955e6bfee11
793,liquid,amorphous_SiO2,core,train,192,64,128,2.0,537b22581960
794,quench,amorphous_SiO2,core,train,192,64,128,2.0,2d9d30b1c6bc
795,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,65e7cb86170a
796,liquid,amorphous_SiO2,core,train,192,64,128,2.0,2d488aa6048e
797,quench,amorphous_SiO2,core,train,192,64,128,2.0,6e578d8bb732
798,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,5412833d7e93
799,liquid,amorphous_SiO2,core,train,192,64,128,2.0,e75fff7a6da3
800,quench,amorphous_SiO2,core,train,192,64,128,2.0,c321facee02d
801,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,0d6803d61b02
802,liquid,amorphous_SiO2,core,train,192,64,128,2.0,9dae91769eee
803,quench,amorphous_SiO2,core,train,192,64,128,2.0,9486844895e1
804,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,660da27ef607
807,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,a66f0f8add16
808,liquid,amorphous_SiO2,core,train,192,64,128,2.0,e94d9472283b
809,quench,amorphous_SiO2,core,train,192,64,128,2.0,26c5d62076df
810,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,eafa32dfe004
811,liquid,amorphous_SiO2,core,train,192,64,128,2.0,00bd8e4c90f9
812,quench,amorphous_SiO2,core,train,192,64,128,2.0,f92683d138ee
813,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,df7b0ed06436
814,liquid,amorphous_SiO2,core,train,192,64,128,2.0,26ed207a7196
816,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,bbb12e1fce68
817,liquid,amorphous_SiO2,core,train,192,64,128,2.0,1404455ed68e
818,quench,amorphous_SiO2,core,train,192,64,128,2.0,33add3a3e2c3
819,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,ca7138d30eac
820,liquid,amorphous_SiO2,core,train,192,64,128,2.0,d0aac66d81e1
821,quench,amorphous_SiO2,core,val,192,64,128,2.0,7b327a53056d
822,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,627e3244224f
823,liquid,amorphous_SiO2,core,train,192,64,128,2.0,ccd6a89d5c3d
824,quench,amorphous_SiO2,core,train,192,64,128,2.0,a070ebc85cb0
826,liquid,amorphous_SiO2,core,train,192,64,128,2.0,e2990e58bf62
827,quench,amorphous_SiO2,core,train,192,64,128,2.0,e8c2f5e3f312
828,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,7dbd221429cf
829,liquid,amorphous_SiO2,core,train,192,64,128,2.0,9ae7dc76d2e6
830,quench,amorphous_SiO2,core,train,192,64,128,2.0,bd4349162a3d
832,liquid,amorphous_SiO2,core,train,192,64,128,2.0,867cfab89ae0
833,quench,amorphous_SiO2,core,val,192,64,128,2.0,620de244b2f0
834,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,aae6585618c0
