structure_id,path,sha16,domain,n_frames,natoms,nSi,nO,x_SiO2minus,source,intended_role,dft_exclusion
prod:pristine,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/sio2x_production/structs/pristine.data,7f5e431150f0a6a1,amorphous_SiO2,1,3000,1000,2000,0.0,sio2x_production MD (single relaxed cell),student_train_candidate,no
prod:random_x006,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/sio2x_production/structs/random_x006.data,5ae41dbe8e64033a,SiO2x_dilute_vacancy,1,2940,1000,1940,0.06,sio2x_production MD (single relaxed cell),student_train_candidate,no
prod:random_x012,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/sio2x_production/structs/random_x012.data,9fb88a12cc0d2d0d,SiO2x_dilute_vacancy,1,2880,1000,1880,0.12,sio2x_production MD (single relaxed cell),student_train_candidate,no
prod:sphere_x006,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/sio2x_production/structs/sphere_x006.data,27bb87656a2d19de,SiO2x_clustered_vacancy_voidsurface,1,2940,1000,1940,0.06,sio2x_production MD (single relaxed cell),student_train_candidate,no
prod:sphere_x012,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/sio2x_production/structs/sphere_x012.data,c1a33251a7cc59eb,SiO2x_clustered_vacancy_voidsurface,1,2880,1000,1880,0.12,sio2x_production MD (single relaxed cell),student_train_candidate,no
prod:plane_x006,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/sio2x_production/structs/plane_x006.data,678cbc857db90e89,SiO2x_clustered_vacancy_voidsurface,1,2940,1000,1940,0.06,sio2x_production MD (single relaxed cell),student_train_candidate,no
prod:plane_x012,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/sio2x_production/structs/plane_x012.data,20bef36cd699e1e5,SiO2x_clustered_vacancy_voidsurface,1,2880,1000,1880,0.12,sio2x_production MD (single relaxed cell),student_train_candidate,no
scan_dft:0,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,69,23,46,0.0,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
scan_dft:1,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,78,26,52,0.0,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
scan_dft:2,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,60,20,40,0.0,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
scan_dft:3,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,57,19,38,0.0,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
scan_dft:4,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,46,22,24,0.9091,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
scan_dft:5,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,36,20,16,1.2,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
scan_dft:6,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,54,22,32,0.5455,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
scan_dft:7,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,61,22,39,0.2273,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
scan_dft:8,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,58,21,37,0.2381,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
scan_dft:9,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,58,23,35,0.4783,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
scan_dft:10,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/scan_labeled_structures/sio2x_AL_labels_11cells.xyz,d9e6571e4138639c,SiO2x_dilute_or_clustered_SCAN,1,61,24,37,0.4583,SCAN DFT AL cells (11),HELDOUT_DFT_reference_PC004,YES_never_train
seed:input_small.xyz,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/teacher/input_small.xyz,fc59714f07170626,augment_seed_pool,50,182,84,98,0.8333,"augment-atoms normal_cell_seed; config_types={'SiOx_int_AL': 14, 'SiOx_max_AL': 10, 'bulk_amo': 6, 'quench': 6, 'bulk_cryst': 3, 'surfaces': 4, 'surfaces_int_AL': 2, 'cluster': 3, 'vacancy': 2}",augment_seed,no
seed:input_large.xyz,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/teacher/input_large.xyz,6fc890e8828b1dce,augment_seed_pool,10,472,308,164,1.4675,"augment-atoms large_cell_seed; config_types={'SiOx_int_AL': 5, 'SiOx_max_AL': 3, 'bulk_amo': 1, 'quench': 1}",augment_seed,no
