scan_cell_index,cell_id,structure_hash,natoms,N_Si,N_O,oxygen_deficiency_x,role,student_training_eligible
0,cell_0,12e3da6849bca752,69,23,46,0.0,HELDOUT_DFT_reference_PC004,False
1,cell_1,6a8bd98377c0171b,78,26,52,0.0,HELDOUT_DFT_reference_PC004,False
2,cell_2,32dc769ab1275c6b,60,20,40,0.0,HELDOUT_DFT_reference_PC004,False
3,cell_3,79eb1bdd4d0f3f81,57,19,38,0.0,HELDOUT_DFT_reference_PC004,False
4,cell_4,97e0b9cdc3e084f1,46,22,24,0.9091,HELDOUT_DFT_reference_PC004,False
5,cell_5,8e18544c6ba05341,36,20,16,1.2,HELDOUT_DFT_reference_PC004,False
6,cell_6,df5874acb97d5176,54,22,32,0.5455,HELDOUT_DFT_reference_PC004,False
7,cell_7,46568302dab5d62f,61,22,39,0.2273,HELDOUT_DFT_reference_PC004,False
8,cell_8,25138b24bba6e066,58,21,37,0.2381,HELDOUT_DFT_reference_PC004,False
9,cell_9,5b980d8e3c23d191,58,23,35,0.4783,HELDOUT_DFT_reference_PC004,False
10,cell_10,ab8d885483497f85,61,24,37,0.4583,HELDOUT_DFT_reference_PC004,False
